platform.name,user.id,task.id,task.monetary_reward_in_dollars,task.assignable_hits_count,task.requester_name,task.estimate_duration_in_seconds,total.labor.event_count,total.labor.duration_in_seconds,working.labor.event_count,working.labor.duration_in_seconds,invisible.labor.event_count,invisible.labor.duration_in_seconds,adjusted.monetary_reward_in_dollars,completed_task
MTURK,ae862298385abab2a0a1619f8cedef9d,3W9XHF7WGLV68SQR2YVUGGPI6QVTK3,2.0,1.0,HCI Lab,7200,52,326,5,35,47,291,2.0905555555555555,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3KA7IJSNW54MTVXHF3TMHNX8OOTPBI,0.15,1.0,PickFu,720,2,30,2,30,0,0,0.15625,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3UEBBGULPFPBKLKAVLPVYAEF6LSUFW,0.3,23.0,CB Lab,3600,36,31,12,2,24,29,0.3025833333333333,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3MQY1YVHS35Y79MCYT1FYVKHDBQB2G,2.0,80.0,Tamara Berg,3600,23,45,17,39,6,6,2.025,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3E9VAUV7C0KFQYQSLVDQPISUFSBYA9,0.7,0.0,PP Group,14400,53,252,34,87,19,165,0.7122499999999999,1
MTURK,ae862298385abab2a0a1619f8cedef9d,307L9TDWJYSU5X3QAPDSGIUMBKC3ND,0.2,1.0,Kirk Wakefield,172800,50,115,29,8,21,107,0.20013310185185187,1
MTURK,ae862298385abab2a0a1619f8cedef9d,389A2A304OIIICG8DF1T1DF22WGC00,0.5,20.0,MSH University of Grenoble,1800,113,166,21,10,92,156,0.5461111111111111,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3SNR5F7R91STS53HGDQSJBBU3NSIE8,0.2,40.0,SLS-6,1200,34,33,20,14,14,19,0.20550000000000002,0
MTURK,ae862298385abab2a0a1619f8cedef9d,375VMB7D4JK7T05MZHOWSEUJYFJDI0,0.5,0.0,PsychLabAtBC,1200,44,201,15,63,29,138,0.58375,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3EQVJH0T40M4UDKGQD8XZ9P98S2THC,0.13,1.0,Tom Kramer,3600,51,52,19,4,32,48,0.1318777777777778,1
MTURK,ae862298385abab2a0a1619f8cedef9d,30EV7DWJUY8H7Y0TTM7KFN1IB5KY6T,0.1,46.0,Center for Decision Research (SJC),2700,60,136,10,9,50,127,0.10503703703703704,1
MTURK,ae862298385abab2a0a1619f8cedef9d,374UMBUHN6Z30O1ZNFYC8L7CRJ6TCU,2.0,0.0,youngseokwon,900,69,229,23,74,46,155,2.508888888888889,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3UOMW19E6D2JP65CTWU6ZW9QM035CV,0.02,1.0,BigOven,1200,92,34,19,2,73,32,0.020566666666666667,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3UQVX1UPFSHRZZDJ3ZKZW5XX2D002V,0.5,1.0,tiffani wang,900,98,226,47,31,51,195,0.6255555555555555,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3HXCEECSQM1YAHV7LH2TWLBEBS5ZY5,0.1,11.0,AB Lab - University of Calgary,5400,143,297,61,55,82,242,0.10550000000000001,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3IQ9O0AYW60BF98HR3HJEFI1A4UTIN,0.25,0.0,Markus Jakobsson,3600,29,72,17,42,12,30,0.255,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3YLPJ8OXYCURKOALM6AOGFVBCNUX4B,6.0,0.0,Peter Andre,10800,235,2077,44,30,191,2047,7.153888888888889,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3UEBBGULPF665X69NNGKKVU00LZFUX,0.35,1.0,ConsumerLab,1200,74,323,49,34,25,289,0.4442083333333333,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3HJ1EVZS2OJFKVVI3WU9P2ZWCH53R5,0.2,1.0,Kirk Wakefield,86400,69,91,43,20,26,71,0.20021064814814815,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3D1TUISJXL7AXVO1WFY850EAFOVIUV,0.35,1.0,Consumer Research Lab,1500,84,183,31,3,53,180,0.3927,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3BFF0DJK8XC9IE2YIU3AFRJ3MIITS9,0.3,1.0,syu,1800,45,168,17,107,28,61,0.328,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3FCO4VKO07XVVIKQDW4CBQVIJH37EZ,0.7,89.0,The People Lab,18000,65,362,40,27,25,335,0.7140777777777777,1
MTURK,ae862298385abab2a0a1619f8cedef9d,35JDMRECC5SHS0NQU5X2I7CRP94EGA,2.0,1.0,Mia Park,3600,102,653,39,13,63,640,2.3627777777777776,1
MTURK,ae862298385abab2a0a1619f8cedef9d,35O6H0UNLUE4Y4FTGJ6VDCJKB34J5R,0.15,247.0,Sophie,3600,69,81,24,42,45,39,0.15337499999999998,0
MTURK,ae862298385abab2a0a1619f8cedef9d,302U8RURJZ2P9NVP46UZA62SPA1VNK,0.5,0.0,erica,3600,104,345,43,11,61,334,0.5479166666666667,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3TCFMTM8HEERF4I4E3D5IW9NJZJ12O,0.39,1.0,STQ-Surveys,3600,66,44,30,5,36,39,0.39476666666666665,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3QD8LUVX503XYN9EUP5QPT48WYS5XX,1.0,1.0,SeomgyunLee,3600,61,251,39,141,22,110,1.0697222222222222,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3N5YJ55YXG3AVVNQ3MIU09Y29Q1AN7,0.45,1.0,Chulakorn Aritajati,3600,33,143,21,101,12,42,0.46787500000000004,1
MTURK,ae862298385abab2a0a1619f8cedef9d,391JB9X4ZYRRU7Y18HUN27PRAQ1KM9,0.2,86.0,chris.lab111,3600,55,103,27,8,28,95,0.20572222222222222,1
